title,body,bert
The Fisher ,"A Fisher once took his bagpipes to the bank of a river, and played upon them with the hope of making the fish rise; but never a one put his nose out of the water. So he cast his net into the river and soon drew it forth filled with fish. Then he took his bagpipes again, and, as he played, the fish leapt up in the net. ‘Ah, you dance now when I play,’ said he.‘Yes,’ said an old Fish:‘When you are in a man’s power you must do as he bids you.’","A Fisher once took his bagpipes to the bank of a river, and played upon them with the hope of making the fish rise; but never a one put his nose out of the water."
The Shepherd’s Boy ,"There was once a young Shepherd Boy who tended his sheep at the foot of a mountain near a dark forest. It was rather lonely for him all day, so he thought upon a plan by which he could get a little company and some excitement. He rushed down towards the village calling out ‘Wolf, Wolf,’ and the villagers came out to meet him, and some of them stopped with him for a considerable time. This pleased the boy so much that a few days afterwards he tried the same trick, and again the villagers came to his help. But shortly after this a Wolf actually did come out from the forest, and began to worry the sheep, and the boy of course cried out ‘Wolf, Wolf,’ still louder than before. But this time the vil-lagers, who had been fooled twice before, thought the boy was again deceiving them, and nobody stirred to come to his help. So the Wolf made a good meal off the boy’s flock, and when the boy complained, the wise man of the village said:‘A liar will not be believed, even when he speaks the truth.’","There was once a young Shepherd Boy who tended his sheep at the foot of a mountain near a dark forest. But shortly after this a Wolf actually did come out from the forest, and began to worry the sheep, and the boy of course cried out ‘Wolf, Wolf,’ still louder than before."
The Young Thief and His Mother,"A young Man had been caught in a daring act of theft and had been condemned to be executed for it. He expressed his desire to see his Mother, and to speak with her before he was led to execution, and of course this was granted. When his Mother came to him he said: ‘I want to whisper to you,’ and when she brought her ear near him, he nearly bit it off. All the bystanders were horrified, and asked him what he could mean by such brutal and inhuman conduct. ‘It is to punish her,’ he said. ‘When I was young I began with steal-ing little things, and brought them home to Mother. Instead of rebuking and punishing me, she laughed and said: ‘It will not be noticed.’ It is because of her that I am here to-day.’‘He is right, woman,’ said the Priest; ‘the Lord hath said:‘Train up a child in the way he should go; and when he is old he will not depart therefrom.’","A young Man had been caught in a daring act of theft and had been condemned to be executed for it. When his Mother came to him he said: ‘I want to whisper to you,’ and when she brought her ear near him, he nearly bit it off."
The Man and His Two Wives,"In the old days, when men were allowed to have many wives, a middle-aged Man had one wife that was old and one that was young; each loved him very much, and desired to see him like herself. Now the Man’s hair was turning grey, which the young Wife did not like, as it made him look too old for her husband. So every night she used to comb his hair and pick out the white ones. But the elder Wife saw her husband growing grey with great pleasure, for she did not like to be mistaken for his mother. So every morning she used to arrange his hair and pick out as many of the black ones as she could. The consequence was the Man soon found himself entirely bald.Yield to all and you will soon have nothing to yield.","In the old days, when men were allowed to have many wives, a middle-aged Man had one wife that was old and one that was young; each loved him very much, and desired to see him like herself."
The Nurse and the Wolf,"‘Be quiet now,’ said an old Nurse to a child sitting on her lap. ‘If you make that noise again I will throw you to the Wolf.’Now it chanced that a Wolf was passing close under the window as this was said. So he crouched down by the side of the house and waited. ‘I am in good luck to-day,’ thought he. ‘It is sure to cry soon, and a daintier morsel I haven’t had for many a long day.’ So he waited, and he waited, and he waited, till at last the child began to cry, and the Wolf came forward before the window, and looked up to the Nurse, wagging his tail. But all the Nurse did was to shut down the window and call for help, and the dogs of the house came rushing out. ‘Ah,’ said the Wolf as he galloped away,‘Enemies promises were made to be broken.’","‘Be quiet now,’ said an old Nurse to a child sitting on her lap. ‘ But all the Nurse did was to shut down the window and call for help, and the dogs of the house came rushing out. ‘"
The Tortoise and the Birds,"A Tortoise desired to change its place of residence, so he asked an Eagle to carry him to his new home, promising her a rich reward for her trouble. The Eagle agreed and seiz-ing the Tortoise by the shell with her talons soared aloft. On their way they met a Crow, who said to the Eagle: ‘Tor-toise is good eating.’ ‘The shell is too hard,’ said the Eagle in reply. ‘The rocks will soon crack the shell,’ was the Crow’s answer; and the Eagle, taking the hint, let fall the Tortoise on a sharp rock, and the two birds made a hearty meal of the Tortoise.Never soar aloft on an enemy’s pinions.","A Tortoise desired to change its place of residence, so he asked an Eagle to carry him to his new home, promising her a rich reward for her trouble. The rocks will soon crack the shell,’ was the Crow’s answer; and the Eagle, taking the hint, let fall the Tortoise on a sharp rock, and the two birds made a hearty meal of the Tortoise."
The Two Crabs,"One fine day two Crabs came out from their home to take a stroll on the sand. ‘Child,’ said the mother, ‘you are walking very ungracefully. You should accustom yourself, to walk-ing straight forward without twisting from side to side.’‘Pray, mother,’ said the young one, ‘do but set the exam-ple yourself, and I will follow you.’Example is the best precept.","One fine day two Crabs came out from their home to take a stroll on the sand. ‘ ’‘Pray, mother,’ said the young one, ‘do but set the exam-ple yourself, and I will follow you."
The Ass in the Lion’s Skin,"An Ass once found a Lion’s skin which the hunters had left out in the sun to dry. He put it on and went towards his na-tive village. All fled at his approach, both men and animals, and he was a proud Ass that day. In his delight he lifted up his voice and brayed, but then every one knew him, and his owner came up and gave him a sound cudgelling for the fright he had caused. And shortly afterwards a Fox came up to him and said: ‘Ah, I knew you by your voice.’Fine clothes may disguise, but silly words will disclose a fool.","An Ass once found a Lion’s skin which the hunters had left out in the sun to dry. All fled at his approach, both men and animals, and he was a proud Ass that day."
The Two Fellows and the Bear,"Two Fellows were travelling together through a wood, when a Bear rushed out upon them. One of the travellers hap-pened to be in front, and he seized hold of the branch of a tree, and hid himself among the leaves. The other, seeing no help for it, threw himself flat down upon the ground, with his face in the dust. The Bear, coming up to him, put his muzzle close to his ear, and sniffed and sniffed. But at last with a growl he shook his head and slouched off, for bears will not touch dead meat. Then the fellow in the tree came down to his comrade, and, laughing, said ‘What was it that Master Bruin whispered to you?’‘He told me,’ said the other,‘Never trust a friend who deserts you at a pinch.’","Two Fellows were travelling together through a wood, when a Bear rushed out upon them. One of the travellers hap-pened to be in front, and he seized hold of the branch of a tree, and hid himself among the leaves."
The Two Pots,"Two Pots had been left on the bank of a river, one of brass, and one of earthenware. When the tide rose they both float-ed off down the stream. Now the earthenware pot tried its best to keep aloof from the brass one, which cried out: ‘Fear nothing, friend, I will not strike you.’‘But I may come in contact with you,’ said the other, ‘if I come too close; and whether I hit you, or you hit me, I shall suffer for it.’The strong and the weak cannot keep company.","Two Pots had been left on the bank of a river, one of brass, and one of earthenware."
